workflow_id,allocation_cost
0,12817
1,15504
2,12809
3,12952
4,12831
5,23503
6,14229
7,12829
8,14229
9,15481
10,12952
11,12952
12,12952
13,12952
14,12952
15,23380
16,23503
17,14229
18,24118
19,14229
20,12827
21,12824
22,24118
23,15508
24,12952
25,15511
26,12827
27,12952
28,15503
29,12952
30,15497
31,15506
32,24118
33,12827
34,15510
35,15480
36,15480
37,24241
38,12827
39,14229
40,14229
41,14229
42,15475
43,12952
44,15475
45,15480
46,12952
47,14229
48,24364
49,15484
50,12807
51,15514
52,15508
53,12813
54,14229
55,15508
56,12952
57,12815
58,14229
59,23212
60,23431
61,15505
62,12952
63,12952
64,12952
65,14229
66,15502
67,24169
68,14229
69,24169
70,14229
71,24292
72,24169
73,12952
74,14235
75,15505
76,14229
77,12899
78,15474
79,12846
80,12846
81,24415
82,24415
83,12846
84,12779
85,24415
86,15504
87,12846
88,12846
89,24415
90,15503
91,15517
92,12742
93,14229
94,12744
95,14229
96,15479
97,13098
98,14229
99,24415
100,23581
101,12823
102,15512
103,23950
104,14229
105,15507
106,12816
107,15510
108,15508
109,12813
110,12949
111,15508
112,23431
113,12818
114,23554
115,14229
116,15482
117,15490
118,12942
119,24415
120,15487
121,12821
122,15482
123,12892
124,14229
125,12726
126,12836
127,12717
128,15510
129,24415
130,12841
131,12806
132,12839
133,15480
134,14229
135,15483
136,24415
137,14229
138,15486
139,12843
140,14229
141,24415
142,13169
143,12846
144,24415
145,15488
146,14229
147,15480
148,14229
149,26032
150,14278
151,12961
152,12949
153,23162
154,12961
155,12725
156,12942
157,15495
158,12945
159,12942
160,12945
161,14271
162,14272
163,14235
164,14236
165,12949
166,12838
167,14236
168,12751
169,14236
170,23531
171,14271
172,14271
173,12751
174,15508
175,15509
176,14229
177,23777
178,12749
179,12839
180,12836
181,15502
182,14229
183,24392
184,24392
185,15470
186,15509
187,24340
188,14229
189,15509
190,14229
191,12747
192,15513
193,14229
194,12747
195,14229
196,24236
197,15511
198,15514
199,12848
200,12567
201,23900
202,14230
203,23900
204,12559
205,12961
206,14235
207,12581
208,24392
209,12961
210,12961
211,15514
212,12585
213,14236
214,12961
215,15504
216,12961
217,15504
218,14277
219,14272
220,15508
221,14272
222,12581
223,12952
224,12951
225,12583
226,14272
227,14229
228,12843
229,12836
230,15514
231,15517
232,24392
233,15513
234,24366
235,14229
236,14229
237,12841
238,14250
239,12585
240,14244
241,24236
242,15513
243,12585
244,15512
245,12838
246,12841
247,14286
248,12845
249,12582
250,14230
251,24146
252,14235
253,12568
254,15502
255,15504
256,14235
257,12939
258,12945
259,12949
260,15509
261,12889
262,12839
263,12559
264,14272
265,14236
266,12836
267,12578
268,12839
269,15474
270,15473
271,15510
272,15482
273,14229
274,14250
275,14292
276,14250
277,14244
278,23531
279,12490
280,12836
281,15486
282,12839
283,12480
284,23654
285,15487
286,24392
287,12482
288,12482
289,14244
290,24314
291,24236
292,12580
293,14229
294,14229
295,14271
296,15483
297,12577
298,12836
299,14244
300,15524
301,23927
302,24392
303,24023
304,23654
305,14244
306,15515
307,24392
308,12565
309,12583
310,12932
311,12942
312,14272
313,26009
314,14236
315,15514
316,24392
317,12945
318,14236
319,15520
320,12836
321,15508
322,14278
323,15517
324,12839
325,14229
326,14230
327,12836
328,12583
329,24392
330,14235
331,15522
332,14271
333,14229
334,14271
335,24392
336,24392
337,26032
338,15514
339,12585
340,26032
341,26032
342,14286
343,12839
344,12843
345,14286
346,26032
347,15520
348,14245
349,26032
350,12943
351,12949
352,12949
353,23531
354,15498
355,15498
356,12942
357,14271
358,12531
359,12501
360,12945
361,12545
362,23654
363,12942
364,15487
365,15476
366,24146
367,15488
368,12540
369,14230
370,15528
371,14229
372,12540
373,12945
374,12536
375,12949
376,12843
377,12538
378,14229
379,14229
380,12538
381,12836
382,12540
383,15503
384,15505
385,14229
386,24392
387,15495
388,24314
389,14229
390,12621
391,15495
392,14226
393,12839
394,12836
395,15499
396,15494
397,12613
398,15499
399,15497
400,23927
401,14230
402,23681
403,15519
404,12380
405,14230
406,14230
407,23900
408,24392
409,12932
410,14236
411,12943
412,14236
413,12387
414,26009
415,15521
416,15517
417,14236
418,12836
419,12836
420,12836
421,15523
422,15516
423,26009
424,14236
425,14236
426,26009
427,26009
428,12839
429,15522
430,14256
431,26009
432,15514
433,14256
434,12836
435,26009
436,26032
437,15519
438,15514
439,15512
440,26032
441,14256
442,26032
443,15486
444,15523
445,26032
446,15516
447,14236
448,12839
449,12391
450,14250
451,12389
452,24050
453,23804
454,15535
455,14250
456,24419
457,12348
458,24419
459,14250
460,26036
461,12967
462,12962
463,15529
464,14250
465,14250
466,15493
467,12397
468,12442
469,15495
470,24419
471,15495
472,12965
473,15466
474,12440
475,15482
476,12439
477,12856
478,15472
479,24392
480,24392
481,24392
482,12387
483,12861
484,12387
485,24415
486,15506
487,14250
488,12387
489,12389
490,24415
491,15494
492,12443
493,12859
494,14250
495,12442
496,12863
497,24415
498,15497
499,26032
