task_id,task_name,volume,workflow_id,start_time,finish_time
0,entry,0.0,0,0,0
1,ID00000,23.0,0,152.0,175.0
2,ID00001,23.0,0,152.0,175.0
3,ID00002,22.0,0,152.0,161.0
4,ID00003,22.0,0,152.0,161.0
5,ID00004,23.0,0,152.0,168.0
6,ID00005,22.0,0,152.0,174.0
7,ID00006,22.0,0,152.0,174.0
8,ID00007,22.0,0,152.0,174.0
9,ID00008,22.0,0,152.0,167.0
10,ID00009,22.0,0,152.0,174.0
11,ID00010,22.0,0,152.0,160.0
12,ID00011,22.0,0,152.0,174.0
13,ID00012,708.0,0,211.0,467.0
14,ID00013,595.0,0,213.0,469.0
15,ID00014,667.0,0,199.0,467.0
16,ID00015,544.0,0,197.0,469.0
17,ID00016,515.0,0,204.0,467.0
18,ID00017,639.0,0,210.0,469.0
19,ID00018,352.0,0,210.0,467.0
20,ID00019,699.0,0,210.0,467.0
21,ID00020,396.0,0,203.0,469.0
22,ID00021,621.0,0,210.0,469.0
23,ID00022,811.0,0,198.0,469.0
24,ID00023,723.0,0,210.0,469.0
25,ID00024,7.0,0,501.0,504.0
26,ID00025,6.0,0,536.0,542.0
27,ID00026,6.0,0,536.0,542.0
28,ID00027,7.0,0,536.0,543.0
29,ID00028,6.0,0,536.0,542.0
30,ID00029,7.0,0,536.0,543.0
31,ID00030,7.0,0,536.0,540.0
32,ID00031,7.0,0,536.0,543.0
33,ID00032,7.0,0,536.0,543.0
34,ID00033,7.0,0,536.0,539.0
35,ID00034,7.0,0,536.0,540.0
36,ID00035,6.0,0,536.0,542.0
37,ID00036,6.0,0,536.0,542.0
38,ID00037,643.0,0,574.0,840.0
39,ID00038,486.0,0,574.0,840.0
40,ID00039,475.0,0,575.0,838.0
41,ID00040,700.0,0,574.0,840.0
42,ID00041,589.0,0,575.0,840.0
43,ID00042,668.0,0,572.0,840.0
44,ID00043,456.0,0,575.0,840.0
45,ID00044,742.0,0,575.0,840.0
46,ID00045,806.0,0,571.0,840.0
47,ID00046,803.0,0,572.0,840.0
48,ID00047,707.0,0,574.0,838.0
49,ID00048,365.0,0,574.0,838.0
50,ID00049,7.0,0,872.0,875.0
51,finish,0.0,0,886.0,886.0
