task_id,task_name,start_time,finish_time
1,ID00000,0,13.39
2,ID00001,0,13.83
3,ID00002,0,13.36
4,ID00003,0,24.83
5,ID00004,0,13.78
6,ID00005,13.39,41.71
7,ID00006,13.39,27.71
8,ID00007,13.83,24.71
9,ID00008,13.39,38.71
10,ID00009,13.36,35.71
11,ID00010,13.36,34.71
12,ID00011,24.83,41.71
13,ID00012,13.78,30.71
14,ID00013,13.78,29.71
15,ID00014,24.71,28.31
16,ID00015,28.31,29.73
17,ID00016,29.73,47.37
18,ID00017,29.73,40.38
19,ID00018,29.73,52.37
20,ID00019,29.73,42.37
21,ID00020,29.73,67.37
22,ID00021,40.38,41.77
23,ID00022,41.77,47.84
24,ID00023,47.84,55.56
25,ID00024,55.56,56.02
