transfer_id,task_from,task_to,transfer_size
0,1/p0,7/p6,2209715.0
1,10/p9,7/p6,209715.0
2,3/p2,9/p8,209715.0
3,2/p1,9/p8,209715.0
4,7/p6,9/p8,539651072.0
5,8/p7,9/p8,2539651072.0
6,7/p6,6/p5,539651072.0
7,2/p1,6/p5,209715.0
8,8/p7,6/p5,2539651072.0
9,2/p1,8/p7,209715.0
10,10/p9,8/p7,209715.0
11,5/p4,8/p7,209715.0
12,8/p7,11/p10,2539651072.0
13,0/entry,1/p0,0.0
14,0/entry,2/p1,0.0
15,0/entry,3/p2,0.0
16,0/entry,4/p3,0.0
17,0/entry,5/p4,0.0
18,0/entry,10/p9,0.0
19,4/p3,12/finish,0.0
20,6/p5,12/finish,0.0
21,9/p8,12/finish,0.0
22,11/p10,12/finish,0.0
