workflow_T,cjm_status,vma_status
719,SUCCESS,SUCCESS
719,SUCCESS,SUCCESS
720,SUCCESS,SUCCESS
720,SUCCESS,SUCCESS
721,SUCCESS,SUCCESS
721,SUCCESS,SUCCESS
722,SUCCESS,SUCCESS
722,SUCCESS,SUCCESS
723,SUCCESS,SUCCESS
723,SUCCESS,SUCCESS
724,SUCCESS,SUCCESS
724,SUCCESS,SUCCESS
725,SUCCESS,SUCCESS
725,SUCCESS,SUCCESS
726,SUCCESS,SUCCESS
726,SUCCESS,SUCCESS
727,SUCCESS,SUCCESS
727,SUCCESS,SUCCESS
728,SUCCESS,SUCCESS
728,SUCCESS,SUCCESS
729,SUCCESS,SUCCESS
729,SUCCESS,SUCCESS
730,SUCCESS,SUCCESS
730,SUCCESS,SUCCESS
731,SUCCESS,SUCCESS
731,SUCCESS,SUCCESS
732,SUCCESS,SUCCESS
732,SUCCESS,SUCCESS
733,SUCCESS,SUCCESS
733,SUCCESS,SUCCESS
734,SUCCESS,SUCCESS
734,SUCCESS,SUCCESS
735,SUCCESS,SUCCESS
735,SUCCESS,SUCCESS
736,SUCCESS,SUCCESS
736,SUCCESS,SUCCESS
737,SUCCESS,SUCCESS
737,SUCCESS,SUCCESS
738,SUCCESS,SUCCESS
738,SUCCESS,SUCCESS
739,SUCCESS,SUCCESS
739,SUCCESS,SUCCESS
740,SUCCESS,SUCCESS
740,SUCCESS,SUCCESS
741,SUCCESS,SUCCESS
741,SUCCESS,SUCCESS
742,SUCCESS,SUCCESS
742,SUCCESS,SUCCESS
743,SUCCESS,SUCCESS
743,SUCCESS,SUCCESS
744,SUCCESS,SUCCESS
744,SUCCESS,SUCCESS
745,SUCCESS,SUCCESS
745,SUCCESS,SUCCESS
746,SUCCESS,SUCCESS
746,SUCCESS,SUCCESS
747,SUCCESS,SUCCESS
747,SUCCESS,SUCCESS
748,SUCCESS,SUCCESS
748,SUCCESS,SUCCESS
749,SUCCESS,SUCCESS
749,SUCCESS,SUCCESS
750,SUCCESS,SUCCESS
750,SUCCESS,SUCCESS
751,SUCCESS,SUCCESS
751,SUCCESS,SUCCESS
752,SUCCESS,SUCCESS
752,SUCCESS,SUCCESS
753,SUCCESS,SUCCESS
753,SUCCESS,SUCCESS
754,SUCCESS,SUCCESS
754,SUCCESS,SUCCESS
755,SUCCESS,SUCCESS
755,SUCCESS,SUCCESS
756,SUCCESS,SUCCESS
756,SUCCESS,SUCCESS
757,SUCCESS,SUCCESS
757,SUCCESS,SUCCESS
758,SUCCESS,SUCCESS
758,SUCCESS,SUCCESS
759,SUCCESS,SUCCESS
759,SUCCESS,SUCCESS
760,SUCCESS,SUCCESS
760,SUCCESS,SUCCESS
761,SUCCESS,SUCCESS
761,SUCCESS,SUCCESS
762,SUCCESS,SUCCESS
762,SUCCESS,SUCCESS
763,SUCCESS,UNSUCCESS
763,SUCCESS,UNSUCCESS
764,SUCCESS,UNSUCCESS
764,SUCCESS,UNSUCCESS
765,SUCCESS,UNSUCCESS
765,SUCCESS,UNSUCCESS
766,SUCCESS,UNSUCCESS
766,SUCCESS,UNSUCCESS
767,SUCCESS,UNSUCCESS
767,SUCCESS,UNSUCCESS
768,SUCCESS,UNSUCCESS
768,SUCCESS,UNSUCCESS
769,SUCCESS,UNSUCCESS
769,SUCCESS,UNSUCCESS
770,SUCCESS,UNSUCCESS
770,SUCCESS,UNSUCCESS
771,SUCCESS,UNSUCCESS
771,SUCCESS,UNSUCCESS
772,SUCCESS,UNSUCCESS
772,SUCCESS,UNSUCCESS
773,SUCCESS,UNSUCCESS
773,SUCCESS,UNSUCCESS
774,SUCCESS,UNSUCCESS
774,SUCCESS,UNSUCCESS
775,SUCCESS,SUCCESS
775,SUCCESS,SUCCESS
776,SUCCESS,SUCCESS
776,SUCCESS,SUCCESS
777,SUCCESS,SUCCESS
777,SUCCESS,SUCCESS
778,SUCCESS,SUCCESS
778,SUCCESS,SUCCESS
779,SUCCESS,SUCCESS
779,SUCCESS,SUCCESS
780,SUCCESS,SUCCESS
780,SUCCESS,SUCCESS
781,SUCCESS,SUCCESS
781,SUCCESS,SUCCESS
782,SUCCESS,SUCCESS
782,SUCCESS,SUCCESS
783,SUCCESS,SUCCESS
783,SUCCESS,SUCCESS
784,SUCCESS,SUCCESS
784,SUCCESS,SUCCESS
785,SUCCESS,SUCCESS
785,SUCCESS,SUCCESS
786,SUCCESS,SUCCESS
786,SUCCESS,SUCCESS
787,SUCCESS,SUCCESS
787,SUCCESS,SUCCESS
788,SUCCESS,SUCCESS
788,SUCCESS,SUCCESS
789,SUCCESS,SUCCESS
789,SUCCESS,SUCCESS
790,SUCCESS,SUCCESS
790,SUCCESS,SUCCESS
791,SUCCESS,SUCCESS
791,SUCCESS,SUCCESS
792,SUCCESS,SUCCESS
792,SUCCESS,SUCCESS
793,SUCCESS,SUCCESS
793,SUCCESS,SUCCESS
794,SUCCESS,SUCCESS
794,SUCCESS,SUCCESS
795,SUCCESS,SUCCESS
795,SUCCESS,SUCCESS
796,SUCCESS,SUCCESS
796,SUCCESS,SUCCESS
797,SUCCESS,SUCCESS
797,SUCCESS,SUCCESS
798,SUCCESS,SUCCESS
798,SUCCESS,SUCCESS
799,SUCCESS,UNSUCCESS
799,SUCCESS,UNSUCCESS
800,SUCCESS,UNSUCCESS
800,SUCCESS,UNSUCCESS
801,SUCCESS,UNSUCCESS
801,SUCCESS,UNSUCCESS
802,SUCCESS,UNSUCCESS
802,SUCCESS,UNSUCCESS
803,SUCCESS,UNSUCCESS
803,SUCCESS,UNSUCCESS
804,SUCCESS,UNSUCCESS
804,SUCCESS,UNSUCCESS
805,SUCCESS,UNSUCCESS
805,SUCCESS,UNSUCCESS
806,SUCCESS,UNSUCCESS
806,SUCCESS,UNSUCCESS
807,SUCCESS,UNSUCCESS
807,SUCCESS,UNSUCCESS
808,SUCCESS,UNSUCCESS
808,SUCCESS,UNSUCCESS
809,SUCCESS,UNSUCCESS
809,SUCCESS,UNSUCCESS
810,SUCCESS,UNSUCCESS
810,SUCCESS,UNSUCCESS
811,SUCCESS,UNSUCCESS
811,SUCCESS,UNSUCCESS
812,SUCCESS,UNSUCCESS
812,SUCCESS,UNSUCCESS
813,SUCCESS,UNSUCCESS
813,SUCCESS,UNSUCCESS
814,SUCCESS,UNSUCCESS
814,SUCCESS,UNSUCCESS
815,SUCCESS,UNSUCCESS
815,SUCCESS,UNSUCCESS
816,SUCCESS,UNSUCCESS
816,SUCCESS,UNSUCCESS
817,SUCCESS,UNSUCCESS
817,SUCCESS,UNSUCCESS
818,SUCCESS,UNSUCCESS
818,SUCCESS,UNSUCCESS
819,SUCCESS,UNSUCCESS
819,SUCCESS,UNSUCCESS
820,SUCCESS,UNSUCCESS
820,SUCCESS,UNSUCCESS
821,SUCCESS,UNSUCCESS
821,SUCCESS,UNSUCCESS
822,SUCCESS,UNSUCCESS
822,SUCCESS,UNSUCCESS
823,SUCCESS,UNSUCCESS
823,SUCCESS,UNSUCCESS
824,SUCCESS,UNSUCCESS
824,SUCCESS,UNSUCCESS
825,SUCCESS,UNSUCCESS
825,SUCCESS,UNSUCCESS
826,SUCCESS,UNSUCCESS
826,SUCCESS,UNSUCCESS
827,SUCCESS,UNSUCCESS
827,SUCCESS,UNSUCCESS
828,SUCCESS,UNSUCCESS
828,SUCCESS,UNSUCCESS
829,SUCCESS,UNSUCCESS
829,SUCCESS,UNSUCCESS
830,SUCCESS,UNSUCCESS
830,SUCCESS,UNSUCCESS
831,SUCCESS,UNSUCCESS
831,SUCCESS,UNSUCCESS
832,SUCCESS,UNSUCCESS
832,SUCCESS,UNSUCCESS
833,SUCCESS,UNSUCCESS
833,SUCCESS,UNSUCCESS
834,SUCCESS,SUCCESS
834,SUCCESS,SUCCESS
835,SUCCESS,SUCCESS
835,SUCCESS,SUCCESS
836,SUCCESS,SUCCESS
836,SUCCESS,SUCCESS
837,SUCCESS,SUCCESS
837,SUCCESS,SUCCESS
838,SUCCESS,SUCCESS
838,SUCCESS,SUCCESS
839,SUCCESS,SUCCESS
839,SUCCESS,SUCCESS
840,SUCCESS,SUCCESS
840,SUCCESS,SUCCESS
841,SUCCESS,UNSUCCESS
841,SUCCESS,UNSUCCESS
842,SUCCESS,UNSUCCESS
842,SUCCESS,UNSUCCESS
843,SUCCESS,SUCCESS
843,SUCCESS,SUCCESS
844,SUCCESS,SUCCESS
844,SUCCESS,SUCCESS
845,SUCCESS,SUCCESS
845,SUCCESS,SUCCESS
846,SUCCESS,SUCCESS
846,SUCCESS,SUCCESS
847,SUCCESS,SUCCESS
847,SUCCESS,SUCCESS
848,SUCCESS,SUCCESS
848,SUCCESS,SUCCESS
849,SUCCESS,SUCCESS
849,SUCCESS,SUCCESS
850,SUCCESS,SUCCESS
850,SUCCESS,SUCCESS
851,SUCCESS,SUCCESS
851,SUCCESS,SUCCESS
852,SUCCESS,SUCCESS
852,SUCCESS,SUCCESS
853,SUCCESS,SUCCESS
853,SUCCESS,SUCCESS
854,SUCCESS,SUCCESS
854,SUCCESS,SUCCESS
855,SUCCESS,SUCCESS
855,SUCCESS,SUCCESS
856,SUCCESS,SUCCESS
856,SUCCESS,SUCCESS
857,SUCCESS,SUCCESS
857,SUCCESS,SUCCESS
858,SUCCESS,SUCCESS
858,SUCCESS,SUCCESS
859,SUCCESS,SUCCESS
859,SUCCESS,SUCCESS
860,SUCCESS,SUCCESS
