workflow_T,cjm_status,vma_status
170,SUCCESS,SUCCESS
171,SUCCESS,SUCCESS
172,SUCCESS,SUCCESS
173,SUCCESS,SUCCESS
174,SUCCESS,SUCCESS
175,SUCCESS,SUCCESS
176,SUCCESS,SUCCESS
177,SUCCESS,SUCCESS
178,SUCCESS,SUCCESS
179,SUCCESS,SUCCESS
180,SUCCESS,SUCCESS
181,SUCCESS,SUCCESS
182,SUCCESS,SUCCESS
183,SUCCESS,SUCCESS
184,SUCCESS,SUCCESS
185,SUCCESS,SUCCESS
186,SUCCESS,SUCCESS
187,SUCCESS,SUCCESS
188,SUCCESS,SUCCESS
189,SUCCESS,SUCCESS
190,SUCCESS,SUCCESS
191,SUCCESS,SUCCESS
192,SUCCESS,SUCCESS
193,SUCCESS,SUCCESS
194,SUCCESS,SUCCESS
195,SUCCESS,SUCCESS
196,SUCCESS,SUCCESS
197,SUCCESS,SUCCESS
198,SUCCESS,SUCCESS
199,SUCCESS,SUCCESS
200,SUCCESS,SUCCESS
201,SUCCESS,SUCCESS
202,SUCCESS,SUCCESS
203,SUCCESS,SUCCESS
204,SUCCESS,SUCCESS
205,SUCCESS,SUCCESS
206,SUCCESS,SUCCESS
207,SUCCESS,SUCCESS
208,SUCCESS,SUCCESS
209,SUCCESS,SUCCESS
210,SUCCESS,SUCCESS
211,SUCCESS,SUCCESS
212,SUCCESS,SUCCESS
213,SUCCESS,SUCCESS
214,SUCCESS,SUCCESS
215,SUCCESS,SUCCESS
216,SUCCESS,SUCCESS
217,SUCCESS,SUCCESS
218,SUCCESS,SUCCESS
219,SUCCESS,SUCCESS
220,SUCCESS,SUCCESS
221,SUCCESS,SUCCESS
222,SUCCESS,SUCCESS
223,SUCCESS,SUCCESS
224,SUCCESS,SUCCESS
225,SUCCESS,SUCCESS
226,SUCCESS,SUCCESS
227,SUCCESS,SUCCESS
228,SUCCESS,SUCCESS
229,SUCCESS,SUCCESS
230,SUCCESS,UNSUCCESS
231,SUCCESS,UNSUCCESS
232,SUCCESS,UNSUCCESS
233,SUCCESS,UNSUCCESS
234,SUCCESS,UNSUCCESS
235,SUCCESS,UNSUCCESS
236,SUCCESS,UNSUCCESS
237,SUCCESS,UNSUCCESS
238,SUCCESS,UNSUCCESS
239,SUCCESS,UNSUCCESS
240,SUCCESS,UNSUCCESS
241,SUCCESS,UNSUCCESS
242,SUCCESS,UNSUCCESS
243,SUCCESS,SUCCESS
244,SUCCESS,SUCCESS
245,SUCCESS,SUCCESS
246,SUCCESS,SUCCESS
247,SUCCESS,SUCCESS
248,SUCCESS,SUCCESS
249,SUCCESS,SUCCESS
250,SUCCESS,SUCCESS
251,SUCCESS,SUCCESS
252,SUCCESS,SUCCESS
253,SUCCESS,SUCCESS
254,SUCCESS,SUCCESS
255,SUCCESS,SUCCESS
256,SUCCESS,SUCCESS
257,SUCCESS,SUCCESS
258,SUCCESS,SUCCESS
259,SUCCESS,SUCCESS
260,SUCCESS,SUCCESS
261,SUCCESS,SUCCESS
262,SUCCESS,SUCCESS
263,SUCCESS,SUCCESS
264,SUCCESS,SUCCESS
265,SUCCESS,SUCCESS
266,SUCCESS,SUCCESS
267,SUCCESS,SUCCESS
268,SUCCESS,SUCCESS
269,SUCCESS,SUCCESS
270,SUCCESS,SUCCESS
271,SUCCESS,SUCCESS
272,SUCCESS,SUCCESS
273,SUCCESS,SUCCESS
274,SUCCESS,SUCCESS
275,SUCCESS,SUCCESS
276,SUCCESS,SUCCESS
277,SUCCESS,SUCCESS
278,SUCCESS,SUCCESS
279,SUCCESS,SUCCESS
280,SUCCESS,SUCCESS
281,SUCCESS,SUCCESS
282,SUCCESS,SUCCESS
283,SUCCESS,SUCCESS
284,SUCCESS,SUCCESS
285,SUCCESS,SUCCESS
286,SUCCESS,SUCCESS
287,SUCCESS,SUCCESS
288,SUCCESS,SUCCESS
289,SUCCESS,SUCCESS
290,SUCCESS,SUCCESS
291,SUCCESS,SUCCESS
292,SUCCESS,SUCCESS
293,SUCCESS,SUCCESS
294,SUCCESS,SUCCESS
295,SUCCESS,SUCCESS
296,SUCCESS,SUCCESS
297,SUCCESS,SUCCESS
298,SUCCESS,SUCCESS
299,SUCCESS,SUCCESS
300,SUCCESS,SUCCESS
301,SUCCESS,SUCCESS
302,SUCCESS,SUCCESS
303,SUCCESS,SUCCESS
304,SUCCESS,SUCCESS
305,SUCCESS,SUCCESS
306,SUCCESS,SUCCESS
307,SUCCESS,SUCCESS
308,SUCCESS,SUCCESS
309,SUCCESS,SUCCESS
310,SUCCESS,SUCCESS
311,SUCCESS,SUCCESS
312,SUCCESS,SUCCESS
313,SUCCESS,SUCCESS
314,SUCCESS,SUCCESS
315,SUCCESS,SUCCESS
316,SUCCESS,SUCCESS
317,SUCCESS,SUCCESS
318,SUCCESS,SUCCESS
319,SUCCESS,SUCCESS
320,SUCCESS,SUCCESS
321,SUCCESS,SUCCESS
322,SUCCESS,UNSUCCESS
323,SUCCESS,UNSUCCESS
324,SUCCESS,UNSUCCESS
325,SUCCESS,UNSUCCESS
326,SUCCESS,UNSUCCESS
327,SUCCESS,UNSUCCESS
328,SUCCESS,UNSUCCESS
329,SUCCESS,UNSUCCESS
330,SUCCESS,UNSUCCESS
331,SUCCESS,UNSUCCESS
332,SUCCESS,UNSUCCESS
333,SUCCESS,UNSUCCESS
334,SUCCESS,UNSUCCESS
335,SUCCESS,UNSUCCESS
336,SUCCESS,UNSUCCESS
337,SUCCESS,UNSUCCESS
338,SUCCESS,UNSUCCESS
339,SUCCESS,UNSUCCESS
340,SUCCESS,UNSUCCESS
341,SUCCESS,UNSUCCESS
342,SUCCESS,UNSUCCESS
343,SUCCESS,UNSUCCESS
344,SUCCESS,UNSUCCESS
345,SUCCESS,UNSUCCESS
346,SUCCESS,UNSUCCESS
347,SUCCESS,UNSUCCESS
348,SUCCESS,UNSUCCESS
349,SUCCESS,UNSUCCESS
350,SUCCESS,UNSUCCESS
351,SUCCESS,UNSUCCESS
352,SUCCESS,UNSUCCESS
353,SUCCESS,UNSUCCESS
354,SUCCESS,UNSUCCESS
355,SUCCESS,UNSUCCESS
356,SUCCESS,UNSUCCESS
357,SUCCESS,UNSUCCESS
358,SUCCESS,UNSUCCESS
359,SUCCESS,UNSUCCESS
360,SUCCESS,UNSUCCESS
361,SUCCESS,UNSUCCESS
362,SUCCESS,UNSUCCESS
363,SUCCESS,UNSUCCESS
364,SUCCESS,UNSUCCESS
365,SUCCESS,UNSUCCESS
366,SUCCESS,UNSUCCESS
367,SUCCESS,UNSUCCESS
368,SUCCESS,UNSUCCESS
369,SUCCESS,UNSUCCESS
370,SUCCESS,UNSUCCESS
371,SUCCESS,UNSUCCESS
372,SUCCESS,UNSUCCESS
373,SUCCESS,UNSUCCESS
374,SUCCESS,UNSUCCESS
375,SUCCESS,UNSUCCESS
376,SUCCESS,UNSUCCESS
377,SUCCESS,UNSUCCESS
378,SUCCESS,UNSUCCESS
379,SUCCESS,UNSUCCESS
380,SUCCESS,UNSUCCESS
381,SUCCESS,UNSUCCESS
382,SUCCESS,UNSUCCESS
383,SUCCESS,UNSUCCESS
384,SUCCESS,UNSUCCESS
385,SUCCESS,UNSUCCESS
386,SUCCESS,UNSUCCESS
387,SUCCESS,UNSUCCESS
